categorical       [kætə'gɑ:ikl]         a. 属于范畴的,绝对的,明确的
caterpillar       ['kætəpilə]           n. 毛虫，蝴蝶的幼虫
caustic           ['kɔ:stik]            n. 腐蚀剂 a. 腐蚀性的
cavern            ['kævən]              n. 巨穴,洞窟 vt. 放于山洞中,挖空
ceaseless         ['si:slis]            a. 不停的,不断的
celebrated        ['selibreitid]        a. 著名的; 有名的
celestial         [si'lestjəl]          a. 天的,天国的,天空的
censure           ['senʃə]              n. 责难 vt. 非难,指责
centennial        [sen'teniəl]          n. 百年纪念
ceremonious       [seri'mounjəs]        a. 讲究仪式的,隆重的
chafe             [tʃeif]               n. 擦伤,气恼 vt. vi. 摩擦,擦痛,激怒
charcoal          ['tʃɑ:kəul]           n. 木炭
charisma          [kə'rizmə]            n. 非凡的领导力,教祖般的指导力,神授的能力
chary             ['tʃæri]              a. 细心的,吝啬的,谨慎的
chaste            [tʃeist]              a. 贞洁的,纯洁的,朴素的
checked           [tʃekt]               a. 格子花纹的; 棋盘状的
chide             [tʃaid]               vt. vi. 斥责,责骂
chilled           [tʃild]               a. 冷冻的
chimpanzee        [`tʃimpæn'zi:]        n. 黑猩猩
chirp             [tʃə:p]               n. 喳喳声,唧唧声 vt. vi. 吱喳而鸣
chlorine          ['klɔ:ri:n]           n. 氯
choreographer     [`kɔri'ɔgrəfə]        n. 舞蹈指导
chromosome        ['krəuməsəum]         n. 染色体
chronical         ['krɔnikl]            a. 慢性的，延续很长的
chuckle           ['tʃʌkl]              n. 吃吃的笑声,轻笑 vi. 吃吃的笑,咯咯叫
cipher            ['saifə]              n. 零,暗号,阿拉伯数字,无用的东西,密码 vt. vi. 计算,做算术
circuitous        [sə'kju:itəs]         a. 迂回的路的,迂曲的,绕行的
circumference     [sə'kʌmfərəns]        n. 圆周,周围,胸围
circumscribe      [sə:kəm'skraib]       vt. 在……周围画线,限制
circumspect       ['sə:kəmspekt]        a. 细心的,慎重的
circumvent        [sə:kəm'vent]         vt. 绕行,陷害,包围,智取
clam              [klæm]                n. 蛤
clamor            ['klæmə]              n. 喧闹,叫嚷,大声的要求 vi. vt. 喧嚷,大声的要求
clandestine       [klæn'destin]         a. 秘密的
cleft             [kleft]               n. 裂缝,裂口 a. 劈开的
clinch            [klintʃ]              n. 钉牢 vt. vi. 敲弯,扭住
clipper           ['klipə]              n. 快速帆船
clot              [klɔt]                n. 凝块,群 vt. vi. (使)凝结,(使)聚集
clump             [klʌmp]               n. 土块 vi. 丛生，成群
clutter           ['klʌtə]              n. 杂乱 vt. 弄乱,混乱
coax              [kəuks]               vt. 哄,诱骗,慢慢的做好 vi. 哄骗 n. 哄骗
coddle            ['kɔdl]               vt. 娇养,溺爱,煮蛋
cogent            ['kəudʒənt]           a. 使人首肯的,使人信服的,切实的
cohere            [kəu'hir]             vi. 附着,粘着,凝聚,符合
collaborator      [kə'læbəreitə]        n. 合作者
collateral        [kə'lætərəl]          a. 并行的,附随的,旁系的 n. 支亲,副保,附属担保物
colloquial        [kə'loukwiəl]         a. 白话的,口语的,语体的
colossal          [kə'lɔsl]             a. 巨大的,巨像似的
combustible       [kəm'bʌstəbl]         a. 可燃的，易燃的
commodious        [kə'moudjəs]          a. 宽敞的,方便的
